name,nse_symbol,isin
Career Point Edutech Limited,CPEDU,INE0P6P01016
Captain Polyplast Limited,CPL,INE536P01021
Aditya Infotech Limited,CPPLUS,INE819V01029
Craftsman Automation Limited,CRAFTSMAN,INE00LO01017
Canara Robeco Asset Management Company Limited,CRAMC,INE218I01013
Cravatex Limited,CRAVATEX,INE145E01017
Creative Eye Limited,CREATIVEYE,INE230B01021
CREDITACCESS GRAMEEN LIMITED,CREDITACC,INE741K01010
Crest Ventures Limited,CREST,INE559D01011
Crisil Limited,CRISIL,INE007A01025
Crizac Limited,CRIZAC,INE0S4R01014
Crompton Greaves Consumer Electricals Limited,CROMPTON,INE299U01018
Crown Lifters Limited,CROWN,INE491V01019
Cressanda Railway Solutions Limited,CRSL,INE716D01033
CSB Bank Limited,CSBBANK,INE679A01013
CSL Finance Limited,CSLFINANCE,INE718F01018
CSM Technologies Limited,CSM,INE0ZK601013
Cambridge Technology Enterprises Limited,CTE,INE627H01017
City Union Bank Limited,CUB,INE491A01021
Cubex Tubings Limited,CUBEXTUB,INE144D01012
Cummins India Limited,CUMMINSIND,INE298A01020
Cupid Limited,CUPID,INE509F01029
Cura Technologies Limited,CURAA,INE117B01020
Cyber Media (India) Limited,CYBERMEDIA,INE278G01037
Cybertech Systems And Software Limited,CYBERTECH,INE214A01019
Cyient Limited,CYIENT,INE136B01020
Cyient DLM Limited,CYIENTDLM,INE055S01018
Dabur India Limited,DABUR,INE016A01026
Dai-Ichi Karkaria Limited,DAICHI,INE928C01010
Dalmia Bharat Limited,DALBHARAT,INE00R701025
Dalmia Bharat Sugar and Industries Limited,DALMIASUG,INE495A01022
Dam Capital Advisors Limited,DAMCAPITAL,INE284H01025
Damodar Industries Limited,DAMODARIND,INE497D01022
Dangee Dums Limited,DANGEE,INE688Y01022
Datamatics Global Services Limited,DATAMATICS,INE365B01017
Data Patterns (India) Limited,DATAPATTNS,INE0IX101010
Davangere Sugar Company Limited,DAVANGERE,INE179G01029
D.B.Corp Limited,DBCORP,INE950I01011
Deepak Builders & Engineers India Limited,DBEIL,INE0OPA01027
Dilip Buildcon Limited,DBL,INE917M01012
Dhampur Bio Organics Limited,DBOL,INE0I3401014
Valor Estate Limited,DBREALTY,INE879I01012
DB (International) Stock Brokers Limited,DBSTOCKBRO,INE921B01025
Dishman Carbogen Amcis Limited,DCAL,INE385W01011
DCB Bank Limited,DCBBANK,INE503A01015
Dc Infotech And Communication Limited,DCI,INE0A1101019
DCM  Limited,DCM,INE498A01018
DCM Financial Services Limited,DCMFINSERV,INE891B01012
DCM Nouvelle Limited,DCMNVL,INE08KP01019
DCM Shriram Limited,DCMSHRIRAM,INE499A01024
DCM Shriram International Limited,DCMSIL,INE0OU201013
DCM Shriram Industries Limited,DCMSRIND,INE843D01027
DCW Limited,DCW,INE500A01029
DCX Systems Limited,DCXINDIA,INE0KL801015
Ddev Plastiks Industries Limited,DDEVPLSTIK,INE0HR601026
Deccan Cements Limited,DECCANCE,INE583C01021
Deccan Gold Mines Limited,DECNGOLD,INE945F01025
DEE Development Engineers Limited,DEEDEV,INE841L01016
Deep Polymers Limited,DEEP,INE00IY01012
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,INE501A01019
Deepak Nitrite Limited,DEEPAKNTR,INE288B01029
Deep Industries Limited,DEEPINDS,INE0FHS01024
Delhivery Limited,DELHIVERY,INE148O01028
DELPHI WORLD MONEY LIMITED,DELPHIFX,INE726L01027
Delta Corp Limited,DELTACORP,INE124G01033
Delta Manufacturing Limited,DELTAMAGNT,INE393A01011
Den Networks Limited,DEN,INE947J01015
De Nora India Limited,DENORA,INE244A01016
Denta Water and Infra Solutions Limited,DENTA,INE0R4L01018
Dev Information Technology Limited,DEVIT,INE060X01034
Dev Accelerator Limited,DEVX,INE0VOV01021
Devyani International Limited,DEVYANI,INE872J01023
Digicontent Limited,DGCONTENT,INE03JI01017
Dhabriya Polywood Limited,DHABRIYA,INE260R01016
Dhampur Sugar Mills Limited,DHAMPURSUG,INE041A01016
Dhanlaxmi Bank Limited,DHANBANK,INE680A01011
Dhanuka Agritech Limited,DHANUKA,INE435G01025
DHARAN INFRA-EPC LIMITED,DHARAN,INE278R01034
Dharmaj Crop Guard Limited,DHARMAJ,INE00OQ01016
Dhatre Udyog Limited,DHATRE,INE715T01031
Dhoot Transmission Limited,DHOOTTRANS,INE01NH01023
Dhruv Consultancy Services Limited,DHRUV,INE506Z01015
Dhunseri Investments Limited,DHUNINV,INE320L01011
Diamond Power Infrastructure Limited,DIACABS,INE989C01038
Diamines & Chemicals Limited,DIAMINESQ,INE591D01014
Prataap Snacks Limited,DIAMONDYD,INE393P01035
DIC India Limited,DICIND,INE303A01010
Diffusion Engineers Limited,DIFFNKG,INE184O01015
Digidrive Distributors Limited,DIGIDRIVE,INE0PSC01024
DiGiSPICE Technologies Limited,DIGISPICE,INE927C01020
Digitide Solutions Limited,DIGITIDE,INE0U4701011
Digjam Limited,DIGJAMLMTD,INE731U01028
Disa India Limited,DISAQ,INE131C01011
Dish TV India Limited,DISHTV,INE836F01026
Divgi Torqtransfer Systems Limited,DIVGIITTS,INE753U01022
Divi's Laboratories Limited,DIVISLAB,INE361B01024
Dixon Technologies (India) Limited,DIXON,INE935N01020
DJ Mediaprint & Logistics Limited,DJML,INE0B1K01014
DLF Limited,DLF,INE271C01023
D-Link (India) Limited,DLINKINDIA,INE250K01012
Avenue Supermarts Limited,DMART,INE192R01011
DMCC SPECIALITY CHEMICALS LIMITED,DMCC,INE505A01010
Diligent Media Corporation Limited,DNAMEDIA,INE016M01021
Dodla Dairy Limited,DODLA,INE021O01019
Dolat Algotech Limited,DOLATALGO,INE966A01022
Dollar Industries Limited,DOLLAR,INE325C01035
Dolphin Offshore Enterprises (India) Limited,DOLPHIN,INE920A01037
DOMS Industries Limited,DOMS,INE321T01012
Donear Industries Limited,DONEAR,INE668D01028
D. P. Abhushan Limited,DPABHUSHAN,INE266Y01019
DPSC Limited,DPSCLTD,INE360C01024
D P Wires Limited,DPWIRES,INE864X01013
Dr Agarwals Eye Hospital Limited,DRAGARWQ,INE934C01018
DRC Systems India Limited,DRCSYSTEMS,INE03RS01027
Dreamfolks Services Limited,DREAMFOLKS,INE0JS101016
Dredging Corporation of India Limited,DREDGECORP,INE506A01018
Dr. Reddy's Laboratories Limited,DRREDDY,INE089A01031
DCM Shriram Fine Chemicals Limited,DSFCL,INE0OFM01015
DS Kulkarni Developers Limited,DSKULKARNI,INE891A01022
Dynacons Systems & Solutions Limited,DSSL,INE417B01040
Dhunseri Tea & Industries Limited,DTIL,INE341R01014
Ducon Infratechnologies Limited,DUCON,INE741L01018
Dhunseri Ventures Limited,DVL,INE477B01010
Dwarikesh Sugar Industries Limited,DWARKESH,INE366A01041
Dynamic Cables Limited,DYCL,INE600Y01019
Dynamatic Technologies Limited,DYNAMATECH,INE221B01012
Dynemic Products Limited,DYNPRO,INE256H01015
E2E Networks Limited,E2E,INE255Z01027
Easy Trip Planners Limited,EASEMYTRIP,INE07O001026
Eastern Silk Industries Limited,EASTSILK,INE962C01035
East West Freight Carriers Limited,EASTWEST,INE595R01023
GNG Electronics Limited,EBGNG,INE18JU01028
EBIX Limited,EBIX,INE432F01032
eClerx Services Limited,ECLERX,INE738I01010
Eco Recycling Limited,ECORECO,INE316A01038
Ecos (India) Mobility & Hospitality Limited,ECOSMOBLTY,INE06HJ01020
Edelweiss Financial Services Limited,EDELWEISS,INE532F01054
EFC (I) Limited,EFCIL,INE886D01026
Eicher Motors Limited,EICHERMOT,INE066A01021
EID Parry India Limited,EIDPARRY,INE126A01031
Enviro Infra Engineers Limited,EIEL,INE0LLY01014
Euro India Fresh Foods Limited,EIFFL,INE546V01010
EIH Associated Hotels Limited,EIHAHOTELS,INE276C01014
EIH Limited,EIHOTEL,INE230A01023
Eimco Elecon (India) Limited,EIMCOELECO,INE158B01016
Everest Kanto Cylinder Limited,EKC,INE184H01027
EKI Energy Services Limited,EKI,INE0CPR01018
Elantas Beck India Limited,ELANTAS,INE280B01018
EL CID Investments Limited,ELCIDIN,INE927X01018
Eldeco Housing And Industries Limited,ELDEHSG,INE668G01021
Elecon Engineering Company Limited,ELECON,INE205B01031
Electrosteel Castings Limited,ELECTCAST,INE086A01029
Electrotherm (India) Limited,ELECTHERM,INE822G01016
Elgi Equipments Limited,ELGIEQUIP,INE285A01027
Elgi Rubber Company Limited,ELGIRUBCO,INE819L01012
Elin Electronics Limited,ELIN,INE050401020
Elitecon International Limited,ELITECON,INE669R01026
Ellenbarrie Industrial Gases Limited,ELLEN,INE236E01022
Elpro International Limited,ELPROINTL,INE579B01039
Emami Limited,EMAMILTD,INE548C01032
Emami Paper Mills Limited,EMAMIPAP,INE830C01026
Emami Realty Limited,EMAMIREAL,INE778K01012
Embassy Developments Limited,EMBDL,INE069I01010
Emcure Pharmaceuticals Limited,EMCURE,INE168P01015
Electronics Mart India Limited,EMIL,INE02YR01019
Emkay Global Financial Services Limited,EMKAY,INE296H01011
Emmbi Industries Limited,EMMBI,INE753K01015
Emmvee Photovoltaic Power Limited,EMMVEE,INE1C6T01020
Empire Industries Limited,EMPIND,INE515H01014
Empower India Limited,EMPOWER,INE507F01023
EMS Limited,EMSLIMITED,INE0OV601013
eMudhra Limited,EMUDHRA,INE01QM01018
Endurance Technologies Limited,ENDURANCE,INE913H01037
Energy Development Company Limited,ENERGYDEV,INE306C01019
Engineers India Limited,ENGINERSIN,INE510A01028
Entertainment Network (India) Limited,ENIL,INE265F01028
Enkei Wheels (India) Limited,ENKEIWHEL,INE130L01014
Siemens Energy India Limited,ENRIN,INE1NPP01017
Entero Healthcare Solutions Limited,ENTERO,INE010601016
EPACK Durable Limited,EPACK,INE0G5901015
EPack Prefab Technologies Limited,EPACKPEB,INE0MLS01022
Epigral Limited,EPIGRAL,INE071N01016
EPL Limited,EPL,INE255A01020
Equippp Social Impact Technologies Limited,EQUIPPP,INE217G01035
Equitas Small Finance Bank Limited,EQUITASBNK,INE063P01018
Eris Lifesciences Limited,ERIS,INE406M01024
Esab India Limited,ESABINDIA,INE284A01012
ESAF Small Finance Bank Limited,ESAFSFB,INE818W01011
Escorts Kubota Limited,ESCORTS,INE042A01014
Essar Shipping Limited,ESSARSHPNG,INE122M01019
Integra Essentia Limited,ESSENTIA,INE418N01035
Ester Industries Limited,ESTER,INE778B01029
ETERNAL LIMITED,ETERNAL,INE758T01015
Ethos Limited,ETHOSLTD,INE04TZ01018
Eureka Forbes Limited,EUREKAFORB,INE0KCE01017
Euro Panel Products Limited,EUROBOND,INE505V01016
Euro Pratik Sales Limited,EUROPRATIK,INE198501012
Eurotex Industries and Exports Limited,EUROTEXIND,INE022C01012
Eveready Industries India Limited,EVEREADY,INE128A01029
Everest Industries Limited,EVERESTIND,INE295A01018
Excel Industries Limited,EXCELINDUS,INE369A01029
Excelsoft Technologies Limited,EXCELSOFT,INE606N01019
Exicom Tele-Systems Limited,EXICOM,INE777F01014
Exide Industries Limited,EXIDEIND,INE302A01020
Expleo Solutions Limited,EXPLEOSOL,INE201K01015
Exxaro Tiles Limited,EXXARO,INE0GFE01026
Fabtech Technologies Limited,FABTECH,INE0HF201011
Fertilizers and Chemicals Travancore Limited,FACT,INE188A01015
Fairchem Organics Limited,FAIRCHEMOR,INE0DNW01011
Faze Three Limited,FAZE3Q,INE963C01033
Fineotex Chemical Limited,FCL,INE045J01034
FCS Software Solutions Limited,FCSSOFT,INE512B01022
FDC Limited,FDC,INE258B01022
Fedders Holding Limited,FEDDERSHOL,INE417D01020
The Federal Bank  Limited,FEDERALBNK,INE171A01029
Fedbank Financial Services Limited,FEDFINA,INE007N01010
Future Enterprises Limited,FEL,INE623B01027
Future Enterprises Limited,FELDVR,IN9623B01058
Fermenta Biotech Limited,FERMENTA,INE225B01021
Fiberweb (India) Limited,FIBERWEB,INE296C01020
Fiem Industries Limited,FIEMIND,INE737H01014
Filatex India Limited,FILATEX,INE816B01035
Filatex Fashions Limited,FILATFASH,INE185E01021
Finolex Cables Limited,FINCABLES,INE235A01022
Fine Organic Industries Limited,FINEORG,INE686Y01026
Finkurve Financial Services Limited,FINKURVE,INE734I01027
Fino Payments Bank Limited,FINOPB,INE02NC01014
Finolex Industries Limited,FINPIPE,INE183A01024
Brainbees Solutions Limited,FIRSTCRY,INE02RE01045
Fischer Medical Ventures Limited,FISCHER,INE771F01041
Five-Star Business Finance Limited,FIVESTAR,INE128S01021
Flair Writing Industries Limited,FLAIR,INE00Y201027
Flexituff Ventures International Limited,FLEXITUFF,INE060J01017
Future Lifestyle Fashions Limited,FLFL,INE452O01016
Gujarat Fluorochemicals Limited,FLUOROCHEM,INE09N301011
Federal-Mogul Goetze (India) Limited.,FMGOETZE,INE529A01010
Future Market Networks Limited,FMNL,INE360L01017
Focus Lighting and Fixtures Limited,FOCUS,INE593W01028
Foods & Inns Limited,FOODSIN,INE976E01023
FORCE MOTORS LTD,FORCEMOT,INE451A01017
Fortis Healthcare Limited,FORTIS,INE061F01013
Foseco India Limited,FOSECOIND,INE519A01011
Fractal Analytics Limited,FRACTAL,INE212S01015
Fredun Pharmaceuticals Limited,FREDUN,INE194R01017
Frontier Springs Limited,FRONTSP,INE572D01014
Firstsource Solutions Limited,FSL,INE684F01012
Fusion Finance Limited,FUSION,INE139R01012
Gabriel India Limited,GABRIEL,INE524A01029
Gujarat Ambuja Exports Limited,GAEL,INE036B01030
GAIL (India) Limited,GAIL,INE129A01019
Gaja Alternative Asset Management Limited,GAJA,INE18UN01038
Gala Precision Engineering Limited,GALAPREC,INE0RE001014
Galaxy Surfactants Limited,GALAXYSURF,INE600K01018
Gallantt Ispat Limited,GALLANTT,INE297H01019
Gandhar Oil Refinery (India) Limited,GANDHAR,INE717W01049
Gandhi Special Tubes Limited,GANDHITUBE,INE524B01027
Ganesha Ecosphere Limited,GANECOS,INE845D01014
Ganesh Benzoplast Limited,GANESHBE,INE388A01029
Ganesh Consumer Products Limited,GANESHCP,INE652V01016
GANESH HOUSING LIMITED,GANESHHOU,INE460C01014
Ganga Forging Limited,GANGAFORGE,INE691Z01023
Ganges Securities Limited,GANGESSECU,INE335W01016
Garware Technical Fibres Limited,GARFIBRES,INE276A01018
Garuda Construction and Engineering Limited,GARUDA,INE0JVO01026
GACM Technologies Limited,GATECH,INE224E01028
GACM Technologies Limited,GATECHDVR,INE224E01036
Gateway Distriparks Limited,GATEWAY,INE079J01017
Gaudium IVF and Women Health Limited,GAUDIUMIVF,INE0P8B01020
Gayatri Highways Limited,GAYAHWS,INE287Z01012
Gayatri Projects Limited,GAYAPROJ,INE336H01023
Gretex Corporate Services Limited,GCSL,INE199P01028
GeeCee Ventures Limited,GEECEE,INE916G01016
Geekay Wires Limited,GEEKAYWIRE,INE669X01032
Gem Aromatics Limited,GEMAROMA,INE06XZ01023
Generic Engineering Construction and Projects Limited,GENCON,INE854S01022
Genesys International Corporation Limited,GENESYS,INE727B01026
Gensol Engineering Limited,GENSOL,INE06H201014
Genus Paper & Boards Limited,GENUSPAPER,INE949P01018
Genus Power Infrastructures Limited,GENUSPOWER,INE955D01029
Geojit Financial Services Limited,GEOJITFSL,INE007B01023
The Great Eastern Shipping Company Limited,GESHIP,INE017A01032
GFL Limited,GFLLIMITED,INE538A01037
GHCL Limited,GHCL,INE539A01019
GHCL Textiles Limited,GHCLTEXTIL,INE0PA801013
GIC Housing Finance Limited,GICHSGFIN,INE289B01019
Globe International Carriers Limited,GICL,INE947T01022
General Insurance Corporation of India,GICRE,INE481Y01014
Gillanders Arbuthnot & Company Limited,GILLANDERS,INE047B01011
Gillette India Limited,GILLETTE,INE322A01010
Ginni Filaments Limited,GINNIFILA,INE424C01010
Gujarat Industries Power Company Limited,GIPCL,INE162A01010
GKB Ophthalmics Limited,GKB,INE265D01015
GK Energy Limited,GKENERGY,INE1AG301022
Gujarat Kidney And Super Speciality Limited,GKSL,INE0V0W01025
GKW Limited,GKWLIMITED,INE528A01020
Gland Pharma Limited,GLAND,INE068V01023
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,INE159A01016
Glenmark Pharmaceuticals Limited,GLENMARK,INE935A01035
Gujarat Lease Financing Limited,GLFL,INE540A01017
Global Education Limited,GLOBAL,INE291W01037
Globale Tessile Limited,GLOBALE,INE0URU01010
Global Vectra Helicorp Limited,GLOBALVECT,INE792H01019
GLOBE ENTERPRISES (INDIA) LIMITED,GLOBE,INE581X01021
Globe Civil Projects Limited,GLOBECIVIL,INE0V3U01015
Globus Spirits Limited,GLOBUSSPR,INE615I01010
Gloster Limited,GLOSTERLTD,INE350Z01018
Glottis Limited,GLOTTIS,INE0TQE01026
GM Breweries Limited,GMBREW,INE075D01018
Gujarat Mineral Development Corporation Limited,GMDCLTD,INE131A01031
GMM Pfaudler Limited,GMMPFAUDLR,INE541A01023
GMR AIRPORTS LIMITED,GMRAIRPORT,INE776C01039
GMR Power and Urban Infra Limited,GMRP&UI,INE0CU601026
GNA Axles Limited,GNA,INE934S01014
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,INE113A01013
Gujarat Natural Resources Limited,GNRL,INE207H01018
Goa Carbon Limited,GOACARBON,INE426D01013
GOCL Corporation Limited,GOCLCORP,INE077F01035
Go Fashion (India) Limited,GOCOLORS,INE0BJS01011
Godavari Biorefineries Limited,GODAVARIB,INE497S01012
Godfrey Phillips India Limited,GODFRYPHLP,INE260B01028
Go Digit General Insurance Limited,GODIGIT,INE03JT01014
Godrej Agrovet Limited,GODREJAGRO,INE850D01014
Godrej Consumer Products Limited,GODREJCP,INE102D01028
Godrej Industries Limited,GODREJIND,INE233A01035
Godrej Properties Limited,GODREJPROP,INE484J01027
Gokaldas Exports Limited,GOKEX,INE887G01027
Gokul Refoils and Solvent Limited,GOKUL,INE020J01029
Gokul Agro Resources Limited,GOKULAGRO,INE314T01033
Golden Tobacco Limited,GOLDENTOBC,INE973A01010
Goldiam International Limited,GOLDIAM,INE025B01025
AION-TECH SOLUTIONS LIMITED,GOLDTECH,INE805A01014
Goodluck India Limited,GOODLUCK,INE127I01024
Goodyear India Limited,GOODYEAR,INE533A01012
Gopal Snacks Limited,GOPAL,INE0L9R01028
Goyal Aluminiums Limited,GOYALALUM,INE705X01026
Godawari Power And Ispat limited,GPIL,INE177H01039
Gujarat Pipavav Port Limited,GPPL,INE517F01014
GPT Healthcare Limited,GPTHEALTH,INE486R01017
GPT Infraprojects Limited,GPTINFRA,INE390G01014
Gradiente Infotainment Limited,GRADIENTE,INE361K01017
Grand Oak Canyons Distillery Limited,GRANDOAK,INE926B01016
Granules India Limited,GRANULES,INE101D01020
Graphite India Limited,GRAPHITE,INE371A01025
Grasim Industries Limited,GRASIM,INE047A01021
Grauer & Weil India Limited,GRAUWEIL,INE266D01021
Graviss Hospitality Limited,GRAVISSHO,INE214F01026
Gravita India Limited,GRAVITA,INE024L01027
Greaves Cotton Limited,GREAVESCOT,INE224A01026
Greenlam Industries Limited,GREENLAM,INE544R01021
Greenpanel Industries Limited,GREENPANEL,INE08ZM01014
Greenply Industries Limited,GREENPLY,INE461C01038
Orient Green Power Company Limited,GREENPOWER,INE999K01014
Grindwell Norton Limited,GRINDWELL,INE536A01023
G R Infraprojects Limited,GRINFRA,INE201P01022
GRM Overseas Limited,GRMOVER,INE192H01020
The Grob Tea Company Limited,GROBTEA,INE646C01018
Billionbrains Garage Ventures Limited,GROWW,INE0HOQ01053
GRP Limited,GRPLTD,INE137I01015
Garden Reach Shipbuilders & Engineers Limited,GRSE,INE382Z01011
Garware Hi-Tech Films Limited,GRWRHITECH,INE291A01017
Gujarat State Fertilizers & Chemicals Limited,GSFC,INE026A01025
Global Surfaces Limited,GSLSU,INE0JSX01015
GSP Crop Science Limited,GSPCROP,INE713R01022
GSS Infotech Limited,GSS,INE871H01011
G-TEC JAINX EDUCATION LIMITED,GTECJAINX,INE586X01012
GTL Limited,GTL,INE043A01012
GTL Infrastructure Limited,GTLINFRA,INE221H01019
GTPL Hathway Limited,GTPL,INE869I01013
Gufic Biosciences Limited,GUFICBIO,INE742B01025
Gujarat Alkalies and Chemicals Limited,GUJALKALI,INE186A01019
Gujarat Apollo Industries Limited,GUJAPOLLO,INE826C01016
GUJARAT ENERGY LIMITED,GUJENERGY,INE844O01030
Gujarat Raffia Industries Limited,GUJRAFFIA,INE610B01024
Gujarat Themis Biosyn Limited,GUJTHEM,INE942C01045
Gulf Oil Lubricants India Limited,GULFOILLUB,INE635Q01029
GP Petroleums Limited,GULFPETRO,INE586G01017
Gulshan Polyols Limited,GULPOLY,INE255D01024
GVK Power & Infrastructure Limited,GVKPIL,INE251H01024
GE Power India Limited,GVPIL,INE878A01011
GVP Infotech Limited,GVPTECH,INE382T01030
GE Vernova T&D India Limited,GVT&D,INE200A01026
Gyftr Limited,GYFTR,INE724A01017
Hindustan Aeronautics Limited,HAL,INE066F01020
Halder Venture Limited,HALDER,INE115S01010
Haldyn Glass Limited,HALDYNGL,INE506D01020
HALEOS LABS LIMITED,HALEOSLABS,INE320X01016
Hampton Sky Realty Limited,HAMPTON,INE299D01022
Happiest Minds Technologies Limited,HAPPSTMNDS,INE419U01012
Happy Forgings Limited,HAPPYFORGE,INE330T01021
Hardwyn India Limited,HARDWYN,INE626Z01029
Hariom Pipe Industries Limited,HARIOMPIPE,INE00EV01017
Harrisons  Malayalam Limited,HARRMALAYA,INE544A01019
Harsha Engineers International Limited,HARSHA,INE0JUS01029
Hathway Cable & Datacom Limited,HATHWAY,INE982F01036
Hatsun Agro Product Limited,HATSUN,INE473B01035
Havells India Limited,HAVELLS,INE176B01034
Sri Havisha Hospitality and Infrastructure Limited,HAVISHA,INE293B01029
Hawkins Cookers Limited,HAWKINCOOK,INE979B01015
Hazoor Multi Projects Limited,HAZOOR,INE550F01049
HB Estate Developers Limited,HBESD,INE640B01021
HBL Engineering Limited,HBLENGINE,INE292B01021
HB Portfolio Limited,HBPOR,INE638B01025
HB Stockholdings Limited,HBSL,INE550B01022
Hindustan Construction Company Limited,HCC,INE549A01026
Healthcare Global Enterprises Limited,HCG,INE075I01017
HCL Infosystems Limited,HCL-INSYS,INE236A01020
HCL Technologies Limited,HCLTECH,INE860A01027
HDB Financial Services Limited,HDBFS,INE756I01012
HDFC Asset Management Company Limited,HDFCAMC,INE127D01025
HDFC Bank Limited,HDFCBANK,INE040A01034
HDFC Life Insurance Company Limited,HDFCLIFE,INE795G01014
Housing Development and Infrastructure Limited,HDIL,INE191I01012
Heads UP Ventures Limited,HEADSUP,INE759V01019
Health X Platform Limited,HEALTHX,INE019J01013
HEC Infra Projects Limited,HECPROJECT,INE558R01013
HEG Limited,HEG,INE545A01024
HeidelbergCement India Limited,HEIDELBERG,INE578A01017
Hemisphere Properties India Limited,HEMIPROP,INE0AJG01018
Heranba Industries Limited,HERANBA,INE694N01015
Heritage Foods Limited,HERITGFOOD,INE978A01027
Hero MotoCorp Limited,HEROMOTOCO,INE158A01026
Hester Biosciences Limited,HESTERBIO,INE782E01017
Hexagon Nutrition Limited,HEXAGON,INE0JUI01012
Hexa Tradex Limited,HEXATRADEX,INE750M01017
Hexaware Technologies Limited,HEXT,INE093A01041
HFCL Limited,HFCL,INE548A01028
H.G. Infra Engineering Limited,HGINFRA,INE926X01010
HandsOn Global Management (HGM) Limited,HGM,INE596H01014
Hinduja Global Solutions Limited,HGS,INE170I01016
Hikal Limited,HIKAL,INE475B01022
Highway Infrastructure Limited,HILINFRA,INE00RL01028
Hilton Metal Forging Limited,HILTON,INE788H01017
Himatsingka Seide Limited,HIMATSEIDE,INE049A01027
Hindustan Adhesives Limited,HINDADH,INE074C01013
Hindalco Industries Limited,HINDALCO,INE038A01020
Hind Aluminium Industries Limited,HINDALUMI,INE227B01019
Hindustan Composites Limited,HINDCOMPOS,INE310C01029
Hindcon Chemicals Limited,HINDCON,INE642Y01029
Hindustan Copper Limited,HINDCOPPER,INE531E01026
Hindustan Oil Exploration Company Limited,HINDOILEXP,INE345A01011
Hindustan Petroleum Corporation Limited,HINDPETRO,INE094A01015
Hindustan Unilever Limited,HINDUNILVR,INE030A01027
Hindware Home Innovation Limited,HINDWAREAP,INE05AN01011
Hindustan Zinc Limited,HINDZINC,INE267A01025
Hirect Limited,HIRECT,INE835D01023
Hisar Metal Industries Limited,HISARMETAL,INE598C01011
Hi-Tech Pipes Limited,HITECH,INE106T01025
Hitech Corporation Limited,HITECHCORP,INE120D01012
The Hi-Tech Gears Limited,HITECHGEAR,INE127B01011
HLE Glascoat Limited,HLEGLAS,INE461D01028
HLV LIMITED,HLVLTD,INE102A01024
HMA Agro Industries Limited,HMAAGRO,INE0ECP01024
HMT Limited,HMT,INE262A01018
Hindustan Media Ventures Limited,HMVL,INE871K01015
Hindustan Foods Limited,HNDFDS,INE254N01026
Home First Finance Company India Limited,HOMEFIRST,INE481N01025
Honasa Consumer Limited,HONASA,INE0J5401028
Honeywell Automation India Limited,HONAUT,INE671A01010
Honda India Power Products Limited,HONDAPOWER,INE634A01018
Horizon Industrial Parks Limited,HORIZONIND,INE685T01010
HP Adhesives Limited,HPAL,INE0GSL01024
Hindprakash Industries Limited,HPIL,INE05X901010
HPL Electric & Power Limited,HPL,INE495S01016
Hariyana Ship Breakers Limited,HRYNSHP,INE400G01011
Himadri Speciality Chemical Limited,HSCL,INE019C01026
Hy-Tech Engineers Limited,HTEL,INE0LEG01024
HT Media Limited,HTMEDIA,INE501G01024
Hubtown Limited,HUBTOWN,INE703H01016
Housing & Urban Development Corporation Limited,HUDCO,INE031A01017
Huhtamaki India Limited,HUHTAMAKI,INE275B01026
Hybrid Financial Services Limited,HYBRIDFIN,INE965B01022
Hyundai Motor India Limited,HYUNDAI,INE0V6F01027
Indiabulls Limited,IBULLSLTD,INE126M01010
ICDS Limited,ICDSLTD,INE613B01010
Ice Make Refrigeration Limited,ICEMAKE,INE520Y01019
ICICI Prudential Asset Management Company Limited,ICICIAMC,INE346A01027
ICICI Bank Limited,ICICIBANK,INE090A01021
ICICI Lombard General Insurance Company Limited,ICICIGI,INE765G01017
ICICI Prudential Life Insurance Company Limited,ICICIPRULI,INE726G01019
Indo Count Industries Limited,ICIL,INE483B01026
ICRA Limited,ICRA,INE725G01011
IDBI Bank Limited,IDBI,INE008A01015
Vodafone Idea Limited,IDEA,INE669E01016
Ideaforge Technology Limited,IDEAFORGE,INE349Y01013
IDFC First Bank Limited,IDFCFIRSTB,INE092T01019
Indian Energy Exchange Limited,IEX,INE022Q01020
IFB Agro Industries Limited,IFBAGRO,INE076C01018
IFB Industries Limited,IFBIND,INE559A01017
IFCI Limited,IFCI,INE039A01010
IFGL Refractories Limited,IFGLEXPOR,INE133Y01011
Igarashi Motors India Limited,IGARASHI,INE188B01013
Indogulf Cropsciences Limited,IGCL,INE05J901018
International Gemological Institute Limited,IGIL,INE0Q9301021
Indraprastha Gas Limited,IGL,INE203G01027
IG Petrochemicals Limited,IGPL,INE204A01010
IIFL Finance Limited,IIFL,INE530B01024
IIFL Capital Services Limited,IIFLCAPS,INE489L01022
Industrial Investment Trust Limited,IITL,INE886A01014
IKIO Technologies Limited,IKIO,INE0LOJ01019
Inventurus Knowledge Solutions Limited,IKS,INE115Q01022
IL&FS Engineering and Construction Company Limited,IL&FSENGG,INE369I01014
IL&FS Transportation Networks Limited,IL&FSTRANS,INE975G01012
Imagicaaworld Entertainment Limited,IMAGICAA,INE172N01012
Indian Metals & Ferro Alloys Limited,IMFA,INE919H01018
India Motor Parts and Accessories Limited,IMPAL,INE547E01014
Impex Ferro Tech Limited,IMPEXFERRO,INE691G01015
Insolation Energy Limited,INA,INE0LGX01024
INCREDIBLE INDUSTRIES LIMITED,INCREDIBLE,INE452L01012
